Title,Date
"El juego del calamar: Temporada 1: El hombre del paraguas","26/9/21"
"El juego del calamar: Temporada 1: Infierno","26/9/21"
"El juego del calamar: Temporada 1: Luz roja, luz verde","26/9/21"
"Metal Shop Masters: Temporada 1: Al son de la música","21/9/21"
"Metal Shop Masters: Temporada 1: Perdidísimo","21/9/21"
"Metal Shop Masters: Temporada 1: Huele a pescado","21/9/21"
"Una película de Tyler Perry: Las niñas de papá","20/9/21"
"El padre que mueve montañas","20/9/21"
"No manches,  Frida","17/9/21"
"El protector","17/9/21"
"Metal Shop Masters: Temporada 1: Pon a prueba tu temple","15/9/21"
"El juez","12/9/21"
"¿Quién ríe ahora?","12/9/21"
"Año uno","12/9/21"
"SAS: El ascenso del Cisne Negro","12/9/21"
"Furia de titanes","12/9/21"
"Él es así","4/9/21"
"High Score: El mundo de los videojuegos: Miniserie: Regreso con gloria","2/9/21"
"High Score: El mundo de los videojuegos: Miniserie: Auge y decadencia","2/9/21"
"El ejecutor","2/9/21"
"Invasión: El fin de los tiempos","2/9/21"
"Plan de escape","31/8/21"
"For Life: Cadena perpetua: Temporada 1: Padres","30/8/21"
"For Life: Cadena perpetua: Temporada 1: Carácter y actitud","30/8/21"
"For Life: Cadena perpetua: Temporada 1: Declaración final","30/8/21"
"Superagente canino","29/8/21"
"El ejército de los muertos","29/8/21"
"Héroe de centro comercial 2","28/8/21"
"Battleship: Batalla naval","28/8/21"
"De chatarras a carrazos: Temporada 1: Más inteligente","28/8/21"
"De chatarras a carrazos: Temporada 3: Se vende, se vende... ¿Se vendió?","28/8/21"
"De chatarras a carrazos: Temporada 3: El auto concepto","28/8/21"
"De chatarras a carrazos: Temporada 3: Un proyecto ambicioso","28/8/21"
"De chatarras a carrazos: Temporada 3: Jacuzzi sobre ruedas","28/8/21"
"De chatarras a carrazos: Temporada 3: Las ruedas del bus rodando van","28/8/21"
"De chatarras a carrazos: Temporada 3: Volver de las cenizas","28/8/21"
"De chatarras a carrazos: Temporada 3: El camino al dinero rápido","28/8/21"
"De chatarras a carrazos: Temporada 3: El cielo es el límite","28/8/21"
"De chatarras a carrazos: Temporada 2: Digno de Petersen","27/8/21"
"De chatarras a carrazos: Temporada 2: ¿Truco o trato?","27/8/21"
"De chatarras a carrazos: Temporada 2: Viejo Cuervo","27/8/21"
"De chatarras a carrazos: Temporada 2: Hasta la vista, Vaydor","27/8/21"
"De chatarras a carrazos: Temporada 2: Lancha a motor, desafío mayor","27/8/21"
"De chatarras a carrazos: Temporada 2: Algo prestado, algo renovado","27/8/21"
"De chatarras a carrazos: Temporada 2: Destrucción total","27/8/21"
"De chatarras a carrazos: Temporada 2: Aceleración eléctrica","27/8/21"
"De chatarras a carrazos: Temporada 1: Volver al futuro","27/8/21"
"De chatarras a carrazos: Temporada 1: Dos por el dinero","27/8/21"
"De chatarras a carrazos: Temporada 1: Tamaño real","27/8/21"
"De chatarras a carrazos: Temporada 1: Frankenbus","27/8/21"
"De chatarras a carrazos: Temporada 1: Joyas de chatarrería","27/8/21"
"De chatarras a carrazos: Temporada 1: Escarabajo en el taller","26/8/21"
"De chatarras a carrazos: Temporada 1: El verde es el nuevo negro","26/8/21"
"Parker","26/8/21"
"Son como niños","26/8/21"
"Vivir dos veces","26/8/21"
"Mi abuela es un peligro 3","26/8/21"
"Mi abuela es un peligro","26/8/21"
"Una buena receta","24/8/21"
"Rust Valley Restorers: Temporada 3: ¿Me quedo o me voy?","24/8/21"
"Rust Valley Restorers: Temporada 3: Reserva oculta","24/8/21"
"Rust Valley Restorers: Temporada 2: Viaje al pasado","24/8/21"
"Jobs","23/8/21"
"Samurái X: El fin","23/8/21"
"Escuadrón 6","23/8/21"
"Spenser: Confidencial","21/8/21"
"Lokillo: Nada es igual","21/8/21"
"Sweet Girl","21/8/21"
"La caída de la Casa Blanca","21/8/21"
"Guerra de vecinos: Temporada 1: Bellas señoras","12/8/21"
"Guerra de vecinos: Temporada 1: Rappi-dín","12/8/21"
"Guerra de vecinos: Temporada 1: La guerra fría","12/8/21"
"Guerra de vecinos: Temporada 1: ¡Aquí no pasó nada!","12/8/21"
"Guerra de vecinos: Temporada 1: El Clásico de Cachirules","12/8/21"
"Guerra de vecinos: Temporada 1: Muchach-app","12/8/21"
"Guerra de vecinos: Temporada 1: Axi-NacaR","12/8/21"
"Guerra de vecinos: Temporada 1: Los ricos también lloran","12/8/21"
"Vivo","10/8/21"
"Son como niños 2","10/8/21"
"Hotel Transylvania 3: Monstruos de vacaciones","9/8/21"
"Marvel - Iron Fist: Temporada 1: La dama de todas las agonías","16/10/20"
"Marvel - Iron Fist: Temporada 1: Bendición de fracturas múltiples","16/10/20"
"Marvel - Iron Fist: Temporada 1: Árbol cortado de raíz","16/10/20"
"Fuller House: Temporada 1: Nuestros comienzos, de nuevo","9/10/20"
"La peor bruja: Temporada 4: La hora de las brujas (Parte 2)","9/10/20"
"La peor bruja: Temporada 4: La hora de las brujas (Parte 1)","9/10/20"
"La peor bruja: Temporada 4: Fundamental","9/10/20"
"La peor bruja: Temporada 4: Una brujería en el tiempo","9/10/20"
"La peor bruja: Temporada 4: Mildred, la detective","9/10/20"
"La peor bruja: Temporada 4: La última carrera de Enid","9/10/20"
"La peor bruja: Temporada 4: El lago de cristal","9/10/20"
"La peor bruja: Temporada 4: El cambio de imagen mágico de Maud","8/10/20"
"La peor bruja: Temporada 4: El árbol prohibido","8/10/20"
"La peor bruja: Temporada 4: Enid Nightshade, superestrella","8/10/20"
"La peor bruja: Temporada 4: Feliz cumpleaños, Indigo Moon","7/10/20"
"La peor bruja: Temporada 4: Gertrudis, la grande","7/10/20"
"La peor bruja: Temporada 4: Las tres imposibilidades","7/10/20"
"Flash: Temporada 1: ¿Quién es Harrison Wells?","28/9/20"
"Flash: Temporada 1: Equipo superestrella","28/9/20"
"Flash: Temporada 1: El Trickster","28/9/20"
"Flash: Temporada 1: Los Rogues","28/9/20"
"Flash: Temporada 1: Se acabó el tiempo","28/9/20"
"Flash: Temporada 1: Lluvia radiactiva","28/9/20"
"Flash: Temporada 1: Hombre nuclear","28/9/20"
"Flash: Temporada 1: Loco por ti","28/9/20"
"Flash: Temporada 1: El ruido y la furia","28/9/20"
"Flash: Temporada 1: Venganza de los Rogues","28/9/20"
"Flash: Temporada 1: El hombre del traje amarillo","28/9/20"
"Flash: Temporada 1: Flash contra Flecha","27/9/20"
"Flash: Temporada 1: El apagón","27/9/20"
"Flash: Temporada 1: Nace el Flash","27/9/20"
"Flash: Temporada 1: Plástico","27/9/20"
"Flash: Temporada 1: Renegados","27/9/20"
"Flash: Temporada 1: Cosas de las que no escapas","27/9/20"
"Flash: Temporada 1: El hombre más veloz que existe","27/9/20"
"Flash: Temporada 1: Piloto","27/9/20"
"Street Food: Latinoamérica: Temporada 1: Buenos Aires, Argentina","9/9/20"
"Cobra Kai: Temporada 2: Pulpo","8/9/20"
"Cobra Kai: Temporada 2: Glory of Love","8/9/20"
"Cobra Kai: Temporada 2: Calma","8/9/20"
"Cobra Kai: Temporada 2: Echa un vistazo a tu derecha","8/9/20"
"Cobra Kai: Temporada 2: Darlo todo","8/9/20"
"Cobra Kai: Temporada 2: La hora de la verdad","8/9/20"
"Cobra Kai: Temporada 2: Hielo y fuego","7/9/20"
"Cobra Kai: Temporada 2: Otra vez juntos","7/9/20"
"Cobra Kai: Temporada 2: Piedad (Parte 2)","7/9/20"
"Cobra Kai: Temporada 1: Piedad","7/9/20"
"Cobra Kai: Temporada 1: Diferentes pero iguales","6/9/20"
"Cobra Kai: Temporada 1: Golpear primero","6/9/20"
"Cobra Kai: Temporada 1: As degenerado","6/9/20"
"Fuller House: Temporada 5: Otro episodio final","23/8/20"
"Fuller House: Temporada 5: Algo prestado","23/8/20"
"Fuller House: Temporada 5: El juego de los casi casados","23/8/20"
"Fuller House: Temporada 5: Sé tú misma y ¡libérate!","23/8/20"
"Fuller House: Temporada 5: Entrenar para ganar","23/8/20"
"Fuller House: Temporada 5: Visita a la universidad","23/8/20"
"Fuller House: Temporada 5: Pavo congelado","23/8/20"
"Fuller House: Temporada 5: Tres bodas y un musical","23/8/20"
"Fuller House: Temporada 5: El traje de papá","23/8/20"
"Fuller House: Temporada 5: Una propuesta discreta","23/8/20"
"Fuller House: Temporada 5: Cinco citas con Kimmy Gibbler","23/8/20"
"Fuller House: Temporada 5: La asombrosa carrera de cumpleaños de DJ","23/8/20"
"Fuller House: Temporada 5: El pájaro de la alcaldesa","23/8/20"
"Fuller House: Temporada 5: Comienza el juego","23/8/20"
"Fuller House: Temporada 5: Salida de mamás","23/8/20"
"Fuller House: Temporada 5: Negocio familiar","22/8/20"
"Fuller House: Temporada 5: Bravo, monsieur Hale","22/8/20"
"Fuller House: Temporada 5: Bienvenida bebé que aún no tiene nombre","22/8/20"
"Fuller House: Temporada 4: Noche de estreno","22/8/20"
"Fuller House: Temporada 4: Baile de graduación","22/8/20"
"Fuller House: Temporada 4: Siempre está abierto","22/8/20"
"Fuller House: Temporada 4: Dedos de oro Fuller","22/8/20"
"Fuller House: Temporada 4: Hijos perfectos","21/8/20"
"Fuller House: Temporada 4: La chofer y el señor Jackson","21/8/20"
"Fuller House: Temporada 4: Presidente Fuller","21/8/20"
"Fuller House: Temporada 4: La noche libre de los ángeles","21/8/20"
"Fuller House: Temporada 4: Sin escape","21/8/20"
"Fuller House: Temporada 4: Evitada","21/8/20"
"Fuller House: Temporada 4: Tener un propósito","21/8/20"
"Fuller House: Temporada 4: La gran noche","21/8/20"
"Fuller House: Temporada 4: ¡Oh, Santa mío!","21/8/20"
"Fuller House: Temporada 3: Viene el sol","21/8/20"
"Fuller House: Temporada 3: Los Fuller en la niebla","21/8/20"
"Fuller House: Temporada 3: Felices para siempre","21/8/20"
"Fuller House: Temporada 3: Hermanas del alma","21/8/20"
"Fuller House: Temporada 3: Ciudad sustituta","21/8/20"
"Fuller House: Temporada 3: La historia de Tommy","21/8/20"
"Fuller House: Temporada 3: Nuevos tiempos","21/8/20"
"Fuller House: Temporada 3: Montaña rusa Troller","21/8/20"
"Fuller House: Temporada 3: La boda japonesa de mi mejor amigo","21/8/20"
"Fuller House: Temporada 3: Con o sin boda","21/8/20"
"Fuller House: Temporada 3: ¿Alguien dijo bebé?","21/8/20"
"Príncipe de los dragones: Temporada 3: Guerreros","21/8/20"
"Príncipe de los dragones: Temporada 3: Hechizo","21/8/20"
"Príncipe de los dragones: Temporada 3: La muerte del rey Trueno","21/8/20"
"Príncipe de los dragones: Temporada 3: Héroes y mentes maestras","20/8/20"
"Príncipe de los dragones: Temporada 3: Desierto de medianoche","20/8/20"
"Príncipe de los dragones: Temporada 3: Fantasma","20/8/20"
"Príncipe de los dragones: Temporada 3: La corona","20/8/20"
"Príncipe de los dragones: Temporada 3: Sol Regem","20/8/20"
"Príncipe de los dragones: Temporada 2: El libro del destino","20/8/20"
"Príncipe de los dragones: Temporada 2: Fuego y furia","20/8/20"
"Príncipe de los dragones: Temporada 2: Corazón de titán","20/8/20"
"Príncipe de los dragones: Temporada 2: La carta sellada","20/8/20"
"Príncipe de los dragones: Temporada 2: La travesía de la Ruth-a perdida","20/8/20"
"Príncipe de los dragones: Temporada 2: Humo y espejos","20/8/20"
"Príncipe de los dragones: Temporada 2: Lo que oculta la luna","20/8/20"
"Príncipe de los dragones: Temporada 2: El secreto y la chispa","20/8/20"
"Príncipe de los dragones: Temporada 1: Tormenta maravillosa","19/8/20"
"Príncipe de los dragones: Temporada 1: Caldera maldita","19/8/20"
"Príncipe de los dragones: Temporada 1: En el hielo","19/8/20"
"Príncipe de los dragones: Temporada 1: Trono vacío","19/8/20"
"Príncipe de los dragones: Temporada 1: Sedientos de sangre","19/8/20"
"Príncipe de los dragones: Temporada 1: Luna llena","19/8/20"
"Príncipe de los dragones: Temporada 1: Hecho nunca deshecho","19/8/20"
"Príncipe de los dragones: Temporada 1: Ecos de Trueno","19/8/20"
"Isla Larva: La película","19/8/20"
"Reunión familiar: Parte 1: ¿Recuerdas a Charlie Wilson?","19/8/20"
"Nivel Intrépido","19/8/20"
"Time Trap","19/8/20"
"Viaje al centro de la tierra","17/8/20"
"Work it: Al ritmo de los sueños","16/8/20"
"Chappie","16/8/20"
"Transformers: La venganza de los caídos","13/8/20"
"Titanes del Pacífico: La insurrección","13/8/20"
"Francotirador","12/8/20"
"Coffee y Kareem","10/8/20"
"En el tornado","8/8/20"
"Atrapa ese email","2/8/20"
"Mi amigo Alexis","28/7/20"
"La fortaleza de Shanghái","28/7/20"
"GODZILLA El devorador de planetas","28/7/20"
"El príncipe del rap: Temporada 1: ¡Alerta, el príncipe llegó!","28/6/20"
"Fuller House: Temporada 3: ¡Sí, quiero ese vestido!","27/6/20"
"Fuller House: Temporada 3: Mi Ramona","27/6/20"
"Fuller House: Temporada 3: Las aventuras del tío Jesse como niñero","27/6/20"
"El príncipe del rap: Temporada 6: Adiós a Bel-Air (Parte 2)","27/6/20"
"El príncipe del rap: Temporada 6: Adiós a Bel-Air (Parte 1)","27/6/20"
"El príncipe del rap: Temporada 6: Gas hilarante","27/6/20"
"El príncipe del rap: Temporada 6: Ganar o perder","27/6/20"
"El príncipe del rap: Temporada 6: Un comercial indecoroso","27/6/20"
"El príncipe del rap: Temporada 6: ¡Ups! Ahí está","27/6/20"
"El príncipe del rap: Temporada 6: Conejo a la plancha","27/6/20"
"El príncipe del rap: Temporada 6: Un hijo sorpresa","27/6/20"
"El príncipe del rap: Temporada 6: Una mala decisión","27/6/20"
"El príncipe del rap: Temporada 6: Un futuro incierto (Parte 2)","27/6/20"
"El príncipe del rap: Temporada 6: Un futuro incierto (Parte 1)","27/6/20"
"El príncipe del rap: Temporada 6: Ya basta de payasadas","27/6/20"
"El príncipe del rap: Temporada 6: No bajes la guardia","27/6/20"
"El príncipe del rap: Temporada 6: Necesito un bebé","27/6/20"
"El príncipe del rap: Temporada 6: Masaje comprometedor (Parte 2)","27/6/20"
"El príncipe del rap: Temporada 6: Masaje comprometedor (Parte 1)","27/6/20"
"El príncipe del rap: Temporada 6: Las Vegas","27/6/20"
"El príncipe del rap: Temporada 6: No, con mi prima no","27/6/20"
"El príncipe del rap: Temporada 6: Carne al carbón","27/6/20"
"El príncipe del rap: Temporada 6: El programa de papá","27/6/20"
"El príncipe del rap: Temporada 6: Un burgués canta el blues","27/6/20"
"El príncipe del rap: Temporada 6: Relacionado con el estrés","27/6/20"
"El príncipe del rap: Temporada 6: Qué empleo tan amargo","27/6/20"
"El príncipe del rap: Temporada 6: Will incendia la casa","27/6/20"
"El príncipe del rap: Temporada 5: ¿Para quién suenan las campanas?","27/6/20"
"El príncipe del rap: Temporada 5: Amor en un ascensor","27/6/20"
"El príncipe del rap: Temporada 5: Pies fríos, cuerpo caliente","27/6/20"
"El príncipe del rap: Temporada 5: Tú mismo eres azul... y dorado","27/6/20"
"El príncipe del rap: Temporada 5: Guárdame este último trance","27/6/20"
"El príncipe del rap: Temporada 5: Cuando Will vuelve","27/6/20"
"El príncipe del rap: Temporada 5: Un suburbio como este","27/6/20"
"El príncipe del rap: Temporada 5: El show de la boda","27/6/20"
"El príncipe del rap: Temporada 5: Will es de Marte","26/6/20"
"El príncipe del rap: Temporada 5: Una proposición decente","26/6/20"
"El príncipe del rap: Temporada 5: Balas sobre Bel-Air","26/6/20"
"El príncipe del rap: Temporada 5: Una mentira maravillosa","26/6/20"
"El príncipe del rap: Temporada 5: Tres es multitud","26/6/20"
"El príncipe del rap: Temporada 5: Mismo juego, temporada siguiente","26/6/20"
"El príncipe del rap: Temporada 5: Will da un paso adelante","26/6/20"
"El príncipe del rap: Temporada 5: Will en una carrera sucia","26/6/20"
"El príncipe del rap: Temporada 5: El amor duele","26/6/20"
"El príncipe del rap: Temporada 5: El tren del alma","26/6/20"
"El príncipe del rap: Temporada 5: La decisión de Ashley","26/6/20"
"El príncipe del rap: Temporada 5: Todos contra Will","26/6/20"
"El príncipe del rap: Temporada 5: Una jugada de película","26/6/20"
"El príncipe del rap: Temporada 5: Pleito de familia","26/6/20"
"El príncipe del rap: Temporada 5: Dulces fantasías","26/6/20"
"El príncipe del rap: Temporada 5: Adiós fortuna","26/6/20"
"El príncipe del rap: Temporada 5: Una nueva estrella","26/6/20"
"El príncipe del rap: Temporada 4: El Día de las Madres","26/6/20"
"El príncipe del rap: Temporada 4: Yo sé por qué grita el ave enjaulada","26/6/20"
"El príncipe del rap: Temporada 4: ¿Quién es el jefe?","26/6/20"
"El príncipe del rap: Temporada 4: La noche de los grillos","26/6/20"
"El príncipe del rap: Temporada 4: La historia de un bautizo","26/6/20"
"El príncipe del rap: Temporada 4: Una siesta en el panteón","26/6/20"
"El príncipe del rap: Temporada 4: Salvado por una prima","26/6/20"
"El príncipe del rap: Temporada 4: La caída de un héroe","26/6/20"
